genus	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Coccolithovirus	0.0	19.384853	1.164493	0.0	1.050279	0.371198	6.825578	162.996863	1.055245	21.685291	3.834264	3.75295	3.402234	0.243948	0.124146	15.086901	609.391344	1.589696	0.0	0.117939	6.746737	2.285537	104.470505	0.0	249.247659	1.031036	48.203611	2.435134	8.618248	4.671008	0.0	3.044691	0.0	3.294227	0.0	1.229672	3.230291	0.496586	5.666045	5.103042	17.636252	0.97393	1.353196	3.216638	0.248293	233.943447	2.452514	9.567966	41.824316	30.137804
Propionimicrobium	0.0	0.0	0.0	0.0	0.286201	0.0	0.0	1.684837	0.0	0.0	0.0	3.603069	0.681431	0.0	0.0	0.0	0.0	2.798978	0.0	0.340715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.759795	0.0	0.0	0.0	0.0	0.340715	0.339012	0.0	0.325383	0.0	0.0	0.340715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ornithobacterium	0.083403	0.0	0.165549	0.074602	0.0	0.082565	0.918692	0.0	0.326907	0.166806	0.0	0.0	0.562867	0.0	0.335289	2.168484	0.0	1.380134	0.567477	0.0	0.210394	0.0	0.251048	3.903188	0.0	0.555323	3.433363	0.0	19.175191	0.125314	0.082984	0.586756	0.167645	0.207879	0.0	0.0	0.725901	0.0	0.247276	0.0	0.0	0.541911	0.082146	0.0	7.538559	0.0	0.0	25.448031	0.083822	0.336547
Kp32virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072367	0.0	0.0	0.0	0.0	0.0	0.179738	0.080765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.697564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cr3virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0540825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.209002	0.0	0.0	0.0	10.264828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0911935	22.066031	0.0	0.0	0.0	0.0	0.0	3.103625	0.0	0.0	3.232378	0.0	0.0	0.0	0.0	0.0
Pasteurella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4884160000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5177916666666667	0.0	0.0	0.0
Myroides	2.804551	14.998104	24.047439	12.128081	2.819735	16.604365	0.734346	0.0	44.43928	0.0	255.700194	1.072106	96.860508	4.351993	0.379507	0.189753	2.978175	84.181209	0.0	0.0	34.217284	9.971535	0.0	3.911766	17.381407	9.36528	0.944023	4.098669	1.685009	1.514234	5.366225	0.0	0.0	4.284625	22.525613	0.759013	0.541745	1.70778	158.512306	0.0	111.750449	4.261861	2.777039	0.185009	1.081594	0.0	0.185958	0.0	0.189753	5.067361
Muvirus	0.0	5.010976	0.029408	0.0	0.1623005	0.0	0.0	0.0176785	0.095511	0.0	0.0	1.404626	0.864238	0.0	0.0	0.3505255	0.0	0.0	0.0409335	0.0	3.3700945	0.6545230000000001	80.93627699999999	0.0	0.119525	0.0	0.0091385	0.0	0.0	1.1959855	0.0	0.0	0.0	0.0	0.0	0.0	0.095511	0.0	0.0488225	0.0	6.161463	0.0	0.0	0.0	0.0	1.4747355	0.173181	0.0	60.05884350000001	0.0
Riemerella	0.214912	0.217653	0.219298	4.502743	0.219298	2.257677	3.163377	0.0	0.971492	40.530696	0.419408	0.0	0.0	0.328947	0.109649	0.65296	5.974237	0.108553	2.819076	0.109649	0.219298	0.0	5.451205	8.517542	0.327851	367.255998	0.0	2.26535	2.598135	0.219298	0.0	0.0	0.0	0.429276	0.0	0.0	1.668311	0.620614	0.0	0.219298	0.869518	3.017543	0.0	0.0	0.50932	0.0	0.0	1.782896	0.0	0.0
Megasphaera	0.0004032070707070707	0.002624439393939394	0.01497009595959596	0.0023409040404040403	0.0018997676767676767	0.017717050505050506	8.526842343434346	0.001329909090909091	0.002591530303030303	0.0017847020202020202	28.789980005050513	2.636834994949495	0.00016662121212121213	0.0005451161616161616	0.0	6.38065113131313	0.04080390909090909	1.7115276919191922	0.9448830757575758	0.01588288383838384	0.026698060606060604	0.0018666969696969696	0.0	0.0	0.0066855303030303025	0.038739090909090904	0.012887025252525252	0.12515321212121214	0.031843080808080806	0.0013961919191919194	0.002022252525252525	0.0	0.0	0.11698878282828283	2.0418301464646467	0.0	3.9873917121212132	1.8019794848484847	1.0815769242424245	0.7377506262626262	0.0	0.3460895050505051	0.0	0.0	0.04518229797979799	1.1385978636363638	0.0	0.0011704545454545455	0.0	0.012335631313131314
