species	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Odoribacter splanchnicus	0.013808022756005059	0.6305992876106189	0.10090147281921619	0.9150487793931721	2.395304876106195	0.04792198798988623	0.5328684747155493	0.006185386219974717	0.023973418457648544	0.01223221554993679	0.06639033375474085	1.6212257433628303	0.5190924538558789	0.16752392161820492	0.2881643274336283	0.05555133501896332	0.04902570606826796	0.8749737073324901	0.017980219342604298	0.21661974083438684	0.2787085031605563	0.06382743678887486	0.014156972187104927	0.1377229127686473	0.2427729374209861	0.19938289633375464	0.2578491112515808	0.6073022060682691	0.3359420233881156	0.07817719848293299	0.4905551706700379	0.12615036536030344	0.12449155689001268	0.5351861327433624	0.6401540290771184	0.016159544879898867	0.43026047471554996	0.826423726295827	0.37860171871049236	0.3249149323640962	0.04416414285714286	0.6013924879898864	4.0762055828065735	0.1670886112515801	0.1599634412136536	0.007851406447534766	0.017503924146649804	0.16340937484197213	0.003690843868520859	1.7543423546144084
Homo sapiens	0.05534304761904762	0.0	0.016459500000000002	0.0	0.059599571428571425	0.025459000000000002	0.003791333333333333	0.0	0.003946333333333334	0.00911047619047619	0.022230785714285713	0.0	0.028733619047619046	0.011769261904761904	0.011991119047619049	0.01294761904761905	0.011720452380952382	4.905863238095238	0.011020904761904763	0.004119285714285714	0.017070119047619046	0.0	0.04539407142857142	1.6861393095238089	0.0	0.01608504761904762	0.03953661904761905	0.028729714285714286	0.024098619047619046	0.018076690476190475	0.03854307142857143	0.4021388571428572	26.309535428571426	0.11683480952380952	0.04073314285714286	0.07955350000000001	0.045770619047619046	0.024339095238095236	0.026207095238095238	0.014942309523809524	0.1749318333333333	0.0	0.14767176190476192	0.10145633333333334	0.11971892857142857	0.01703802380952381	0.012889642857142856	0.010663809523809523	0.03109026190476191	1.4052122857142855
Salmonella phage FSL SP-016	0.0	0.4167166	0.0092442	0.0	0.0	0.0661148	0.2157152	9.064105999999999	0.066471	0.286018	0.08222779999999999	0.076576	0.20167380000000001	0.2040428	0.027455600000000004	4.7913674	8.720357	0.368344	0.0	0.0	0.4275022	0.0	27.6023234	0.21545639999999996	4.0957232	0.008643399999999999	13.074138600000001	0.0675542	0.1360212	0.0646174	0.0184424	0.036653599999999995	0.0090132	0.060735	0.0501882	0.027732800000000002	2.8394214	0.10159180000000001	0.1269158	0.13344119999999998	5.415457399999999	0.22473940000000003	0.0180264	0.0458054	0.0	3.7350118	0.0447756	0.0609198	0.495355	4.6885188
Arthrobacter phage Abidatro	0.5466715	0.431313	0.020072	0.0	0.3373765	0.061425	0.0	0.0	0.0307125	0.0	0.171016	0.0921375	0.0847665	0.019671	0.0	0.0	0.0	0.0609645	0.0293305	0.11029900000000001	1.261627	0.0307125	0.6279175	0.0	2.2656675	0.0	0.0793655	0.120854	0.0875305	0.0807945	0.0	0.634367	0.0	0.14527	0.277202	3.958815	4.122846	0.425829	1.3182045	0.0582	0.0	0.0	1.3119585	0.0304055	0.2826055	0.0	0.0	1.525925	0.0	2.9368875
Prevotella enoeca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.113248	0.0	2.346156	0.0	0.0	0.0	0.0	0.0	0.1149425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.990806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia virus phiV10	0.0	0.348474	0.843633	0.0	0.22338	0.0	0.273641	1.171258	0.0	0.5793	2.930381	0.288533	0.0	0.07446	0.0	0.743485	0.0	0.357781	0.0	0.0	0.072226	2.211466	0.062547	0.0	0.0	0.0	0.0	0.14892	23.307509	1.684289	0.0	2.353684	0.0	0.0	0.068503	0.0	1.797095	0.0	0.0	0.655995	0.062919	0.062919	0.0	0.0	0.122487	0.0	0.074088	0.0	55.668978	0.0
Streptococcus phage IPP23	0.294414	0.0	0.151652	0.0	0.0	0.0	0.464184	0.465358	0.397249	0.167757	0.031203	0.066935	0.100654	0.0	0.100654	0.03288	0.067103	0.0	0.067103	0.0	1.452273	0.199967	0.454286	0.0	0.301292	0.067103	0.677236	0.099312	0.328804	0.0	0.0	0.0	0.0	2.196779	0.363697	0.0	0.098641	0.0	0.0	0.064754	0.03288	0.0	0.0	0.032042	0.033551	0.0	0.161383	0.0	107.192116	0.0
Escherichia phage Murica	0.0	0.0	0.286466	0.0	0.0	0.0	0.0	0.0	1.125299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095648	0.0	0.0	0.825921	0.0	0.0	0.0	0.0	1.24247	0.087996	0.0	0.095648	0.0	0.095648	0.0	0.0	0.095648	0.0	0.095648	0.472502	0.0	0.0	0.0	0.0	0.0	0.07604	0.095648	0.0	0.0	0.0	0.0	0.0	0.095648	1.382591
Lactococcus phage AM7	0.0	0.43799866666666665	0.080559	0.14485966666666666	0.13508966666666666	1.4184400000000001	1.0470953333333333	0.0	0.20263433333333333	0.6697063333333334	0.0	1.0665346666666666	0.8267446666666666	0.202634	3.1836699999999998	0.0	1.4817263333333335	0.06754466666666667	0.20229633333333333	0.0	0.0	0.06265666666666667	5.236933333333334	0.06265666666666667	0.0	1.1218899999999998	1.2204023333333334	0.7135910000000001	2.0224490000000004	3.2664646666666663	0.312705	0.0	0.05889733333333333	0.738264	1.8770680000000002	8.652584666666668	0.6140096666666667	0.20751633333333333	1.4590443333333332	0.54587	0.0	0.21729233333333334	0.8422103333333334	7.915138333333334	0.0	4.8224860000000005	0.9541646666666667	0.47382300000000005	3.470739666666667	0.401352
Salmonella phage SPN3UB	0.0	0.8402865	0.961865	0.0	0.1897	0.0	1.213494	0.0	1.6489565	0.0	0.0	4.9211195	1.3191015	0.0	0.8096485	5.0005945	0.220339	1.2643959999999999	0.630378	0.0	0.0	0.0	0.0	2.5572019999999998	0.0	0.2314215	0.226532	0.065189	0.065189	0.0	1.4902225	0.813233	0.6913295	0.0	0.0	0.065189	0.0328475	0.517927	0.105932	0.0	0.0	0.6897005	0.0	0.496741	2.7962855	0.065189	0.0	0.064211	0.0	1.5136885
Ostreococcus tauri virus RT-2011	6.770412	1.0146534999999999	0.248743	0.7321085	0.0386845	4.4378525	6.1208805	7.3247995	2.6941965	13.514145500000001	0.30793	0.3415815	0.540425	0.624687	2.850867	1.354159	1.3110265	0.076209	0.191296	0.1156675	8.616956	3.3301745	4.1624765	0.2669245	1.655899	0.4	16.342554	0.116054	12.6533835	3.465877	0.175822	0.736733	0.154739	49.030570000000004	7.6673135	0.0	5.327076	0.1934235	1.2860295000000002	0.5475825	0.0386845	0.606964	1.3658415000000002	2.849515	0.5640225	0.116054	0.25764	0.1945495	87.14817249999999	0.6338495
Clostridium bornimense	0.0	0.0	0.0	0.0778815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048009249999999996	0.0	6.767364250000001	0.0	0.0	0.0	0.0	0.084531	0.01840625	0.5905815	0.0	0.0	0.0	0.0	0.0739875	0.0	0.0	0.04120875	0.0	0.0	0.8864475	0.0	0.0	0.383567	0.0	0.0	0.0	0.0	0.0	0.00673825	0.0	0.14836425	0.0	0.0	0.0	0.2336445	0.0
Blautia hansenii	2.787205510416666	0.37927517708333336	0.8267078645833332	0.10784785416666669	0.1712614583333333	1.4550315104166673	0.6849283958333331	3.3051326041666673	0.3587425208333333	18.815148874999995	2.4295979166666664	0.8181251874999999	0.29624833333333334	0.3098916770833332	2.7924289270833333	1.7744159791666665	1.0421377708333335	6.211304052083332	0.3486946979166667	0.2012101666666667	6.118782979166668	0.33195900000000006	2.4095362187499996	1.100515125	4.8777767291666665	0.5305950833333334	1.370597166666666	0.2719426458333334	3.5428220729166653	1.1689633645833335	0.2849783854166667	2.9275265520833336	0.08901841666666667	4.082920041666669	0.621899	6.508730000000001	1.6418189270833328	0.057176885416666684	1.44831990625	7.128229729166667	0.06134477083333336	0.1966031666666667	0.32511909375	0.5586606458333334	0.20825308333333334	0.8448039791666669	0.27290049999999993	0.27374353124999995	44.11576422916667	1.772685520833334
