class	w	p-value
Verrucomicrobiae	1.67519822974	0.0938953447873
Actinopterygii	0.172345496886	0.863165918093
Gammaproteobacteria	1.21331229808	0.225010442762
Clostridia	-0.172345496886	0.863165918093
Betaproteobacteria	-2.20602236015	0.0273824341441
Mammalia	3.39520628866	0.00068576909109
class	0.0	1.0
Bacilli	-1.59247239123	0.111278601784
Spirochaetia	0.144770217385	0.884892297546
Hexapoda	1.37876397509	0.167967537322
asterids	1.2064184782	0.227656174765
Flavobacteriia	-0.324009534146	0.74593081608
Chromadorea	4.13629192527	3.52963111891e-05
rosids	-1.02717916144	0.304336108629
Liliopsida	2.48177515516	0.0130729736008
Synergistia	0.882408944059	0.377555700733
Erysipelotrichia	-2.1922347204	0.0283625626225
Epsilonproteobacteria	3.85709222032	0.000114743880135
Methanobacteria	1.71656114899	0.0860593862139
Actinobacteria	0.0896196583809	0.928589462138
Fusobacteriia	4.54302729793	5.54520674007e-06
Tissierellia	7.03859009284	1.94194724693e-12
Saccharomycetes	1.23054684777	0.218492395174
Deltaproteobacteria	-3.84675149051	0.000119694263568
Bacteroidia	0.468779751531	0.639227074707
Coriobacteriia	2.3025358384	0.0213049727626
Negativicutes	0.978922422315	0.327618312307
