phylum	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Chordata	0.009945529411764705	0.020712529411764706	0.054857411764705884	0.009445764705882353	0.9776646666666666	0.11224486274509805	0.0	0.0	0.06713364705882352	0.0	0.12153541176470588	0.1322445294117647	0.05015041176470588	0.0	0.012677470588235294	0.029986529411764704	0.0	0.12487419607843137	0.03453664705882353	0.21798492156862745	0.0	0.009395764705882353	0.019941	0.0	0.019643058823529413	0.037329176470588234	0.0	0.0	0.264832	0.0	0.030658058823529417	0.029086941176470586	0.0	0.008596117647058824	0.0	0.0	0.0	72.90565452941176	0.0	0.0	0.020395235294117648	0.04742876470588236	0.0	0.009995529411764705	0.0	0.04687894117647059	0.0	0.037336705882352945	0.007196764705882353	0.0
Verrucomicrobia	0.01457449012775842	0.06963578745644604	0.018137504065040645	0.0015364738675958185	0.0041618606271777	1.4803516991869923	0.025912773519163764	22.27673732404184	0.2670608513356564	0.1952899965156795	0.003243770034843206	0.0008559941927990708	3.6482705656213694	0.0005749756097560975	1.6914637351916393	0.0021396480836236935	0.0008148524970963995	0.020023371660859463	0.007314488966318234	2.102094800232286	9.938122193960517	2.309984723577235	0.0007139488966318233	0.03639847967479673	0.5586843228803721	0.05724534843205575	0.007500814169570268	0.00449802787456446	22.94937244715449	0.0005451207897793264	0.05623965853658534	0.00591038675958188	0.0006053368176538908	0.0	0.004311937282229964	2.5554096666666677	0.001156246225319396	0.4510648222996515	0.04542763414634147	0.02777984320557493	0.0006891695702671313	0.025312216027874566	1.7923325249709616	0.00019702090592334495	0.0005676202090592335	0.0033930313588850175	0.9840828780487808	0.0013616585365853657	5.469770993031358	0.0011512938443670152
Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.083057	0.0	0.0	13.214588000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077243	0.0	0.081811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727273	0.0	4.025854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirochaetes	6.178749	42.701714	14.713854	18.297538	9.918027	11.072867	1.616699	14.884635	24.691463	2.17002	2.3389	11.008352	0.851612	2.270968	14.549151	13.745357	19.653133	9.684247	0.139279	37.47477	32.097533	2.586341	0.443264	0.119165	12.426564	0.844402	0.602657	16.852372	12.636054	2.227704	0.676281	0.151423	71.304377	1.256547	1.850855	6.987483	20.936999	27.157881	24.860726	26.972308	17.92448	8.790514	25.829974	15.954837	3.721822	3.475523	40.81025	4.19317	4.70778	16.459964
Candidatus Saccharibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptophyta	0.0	0.0	0.0	0.0	0.111732	0.0	0.0	0.0	0.0	0.97832325	0.0	1.48173475	0.0	0.0	0.0	0.0	0.0	12.286033	0.0	1.1894040000000001	0.0	0.0	0.111732	0.0	0.129784	0.0	0.0	9.70624225	2.948603	0.0	0.0	0.316957	0.0	0.0	0.0	2.7580999999999998	0.0	0.0	0.0	0.0	0.5268415	0.0	1.508715	3.33265525	0.0	2.20919	0.0	0.0996015	0.03723	0.0
Actinobacteria	7.9647792405033835	1.2984093202181641	5.783732360515664	5.9225963376048725	132.46979747977034	1.8979716314233266	21.04503264661435	9.055658679832417	1.5169927625744863	2.0650099014522523	39.11925784074198	21.027906141403797	2.3934207934849425	8.641444650660402	111.21042874701008	17.529843846485033	11.142553358098603	8.32448226008098	2.9616304548294634	15.03023457129512	9.431582935598191	0.7374957057100093	8.368624773135267	65.50859208969725	0.9658042655250946	125.97025566843853	10.814551678370606	33.08556655041075	83.68665195701288	1.157968188908189	2.9428022847868074	100.17412073303001	6.784186031607383	2.9873679235275685	57.713675100206146	1.7194404302111537	27.209755370698506	51.965248056145974	2.4551059176127747	9.119719618850755	35.571378290312836	38.759779456143214	20.77494382517319	2.2993224627951063	3.802931729606656	45.77181708713344	39.350651040834606	28.953207607397776	15.646170183454874	53.65749515616248
Synergistetes	0.252929	0.0	0.137836	6.022056	0.0	1.6030799999999998	31.368344	0.0	0.0	0.261888	5.249995	0.0	0.0	0.0	19.076545	0.0	0.0	0.529979	0.0	0.0	0.0	12.955625	0.0	0.0	0.0	0.112336	0.0	2.46622	0.0	0.0	0.724375	0.0	0.073225	0.0	1.506546	0.543763	0.827015	0.769126	1.061338	0.0	0.137836	0.413507	0.68918	0.137836	0.0	0.0	0.137836	0.0	0.275672	2.501724
Ascomycota	0.009283444444444445	0.0	0.07502927777777778	0.0	0.3021627777777778	0.050368500000000004	0.3140123888888889	0.0	0.06459544444444444	0.0	0.007182333333333334	0.07362788888888888	0.019570333333333332	1.1903532777777777	0.020468166666666666	0.0	0.0	0.08894861111111112	0.0	0.0	0.015353722222222223	0.023301444444444444	0.0	0.007110555555555555	0.0	2.0137877222222222	1.1487904444444446	0.5027531111111112	0.009670222222222222	0.0	0.0	0.0193405	0.0061406111111111114	0.01510188888888889	0.6224468888888889	0.0	0.0	0.0	0.0	0.03859716666666667	0.3394482777777778	0.0	0.22353483333333335	0.026743388888888893	0.021465444444444443	26.959305222222227	0.0	0.1439257777777778	0.0	0.12271155555555555
Euryarchaeota	0.00028942335766423354	0.0	8.858245206204385	0.0	0.0	0.0	0.0	0.0	0.00015516788321167881	6.871897810218978e-05	0.0	0.0008540091240875913	0.0	0.0003169835766423358	0.0008759653284671532	0.0020684908759124087	0.5809885839416056	7.609671532846715e-05	0.0	0.0006024598540145986	0.0	0.0	0.0063146751824817516	0.0	0.0	0.0	0.0	0.35061658759124087	0.0	0.0014332791970802922	0.0016101277372262772	0.0	0.019466065693430654	0.00014080474452554743	7.246897810218977e-05	0.0006335675182481751	0.0	0.07791434489051093	0.018071313868613145	3.0355188485401485	6.593795620437957e-05	2.166938958029196	0.0	1.6302229525547447	0.0	0.0005711861313868614	0.0	0.0	3.0086654470802925	0.0005016058394160584
Proteobacteria	133.07054731376465	19.434841878143665	51.63132393323304	8.26703249439479	27.549925690180277	57.3971495000768	26.632648866044235	28.270566117561717	245.90763921433265	2.434615919465892	162.086006022037	23.83397489597837	44.774496431492494	4.907258989047282	16.72225886296294	10.790511325524925	9.907843664624812	45.65594961661445	45.90191202082254	56.170071731439386	3.2947498174701693	17.091765083211914	7.164695032373738	14.571995981558311	14.513253592010074	32.32799254138126	548.5865139247123	18.274600622411196	53.67277641236758	25.56640902305111	2.3325001314950247	10.036083699116315	146.7840506713689	2.30879357395924	7.496894593882814	64.02053952977916	31.718114774167546	8.927400594810003	160.56015949559742	3.393264942487069	7.061152668742087	13.022402557698893	27.408360662375838	24.094186063904434	40.764719493590576	226.05046950085568	36.106764650099024	20.527013107368955	15.920500948990172	30.176114154265207
Arthropoda	0.0	7.788089888888889	0.0	0.0	6.623365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.263062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.777939	0.0	0.0	0.0	0.0	0.0	0.340349	0.0	0.0	0.0	0.0	0.206821	0.0	0.0	46.857754	0.0	0.0	0.0	0.0
Bacteroidetes	76.76676864456714	10.102618589573819	105.98962599378174	99.00616686495661	26.120870087410523	141.8049364596445	156.25448673091898	113.92122438861396	18.114073849671307	142.47131561881267	73.59216282857747	27.04406907641682	210.4263502976219	183.3843576872498	120.41004924149662	181.07519759503126	53.36688433075561	34.11669509965796	193.04142386771656	16.478915190737943	56.91575075367381	30.787430421325706	319.2848651220898	335.977931999815	171.21345932245552	111.89166223837339	1.205929170763489	50.19945245958826	36.078755974865764	68.96219268967556	19.63150000280394	1008.2462628584784	49.59918896188344	144.79157258851242	36.277413397845265	120.0990859354699	28.30447124560515	228.45849170307443	236.73614240357253	111.22004695376613	32.50333375182364	17.667274680031454	54.90716742861581	91.06657916769889	259.4400858571876	9.172166189634606	7.276418082253307	18.068850495793722	114.35494494774018	239.78711926621204
Firmicutes	97.8844178525444	302.78219785742743	98.11902244323903	325.9315012529749	157.1275393773489	52.65315478997562	73.27706765796114	109.24340795989959	108.14115427850601	158.61494093046178	362.0155345367666	82.81415887304324	205.91067590657934	139.09843245739532	434.34288991138027	204.2428775712977	265.3290892313081	345.6500500851996	71.99780188922524	278.4989878455828	103.05087838383183	154.96628939566682	147.709461453456	51.697012761039666	360.64951889174597	120.16478110425612	34.95474938523795	287.3367318592435	218.63713767205533	262.1401541966856	34.2261176122422	28.046057939623427	234.92425151456862	182.1489182933859	332.58915120465826	192.38717152522042	405.0206548924666	56.26140967418171	180.72937480790276	222.6278165130256	418.6317233881474	160.65949541744484	277.8455104114765	186.8518338165932	318.11649365245023	468.6584267676317	360.7284378553015	224.25351764139086	71.60565532481426	242.79894581812474
