species	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Odoribacter splanchnicus	0.011510894206549117	0.041455459277917724	0.8410233979848869	0.8716728900083972	0.0028576255247691014	1.2292038236775826	0.34981254743912676	0.5137585978169602	0.026751093198992444	0.16449317632241814	0.01569097732997481	0.1066468975650714	1.6484287447523107	0.021765331654072205	0.33141323173803516	3.1214187355163747	0.4352059412258612	0.24505142149454218	0.0015974055415617127	0.07925489168765751	0.7705578900083958	1.1104920075566724	0.00977361544920235	0.06458845256087319	1.7268036288832906	0.0132205516372796	0.0016538278757346765	0.0033776448362720403	4.813838672544083	0.20759077581864	0.09877245424013437	0.0053526599496221666	0.20200954492023493	0.8544517531486125	0.02268019311502938	0.05037236943744752	0.01837862216624685	0.7266363996641473	2.6768043064651557	0.6434423534844668	0.007533248530646514	0.03340233921074726	0.029611977329974812	1.2556909706129304	0.017899075566750626	0.0025821460957178837	0.02931291351805206	0.008719468513853903	0.47942458690176304	0.091443704450042
Homo sapiens	0.009945529411764705	0.020712529411764706	0.054857411764705884	0.009445764705882353	0.0	0.009995529411764705	0.0	0.0	0.06713364705882352	0.0	0.12153541176470588	0.02518052941176471	0.05015041176470588	0.0	0.012677470588235294	0.029986529411764704	0.0	0.021121529411764706	0.03453664705882353	0.10760958823529412	0.0	0.009395764705882353	0.019941	0.0	0.019643058823529413	0.037329176470588234	0.0	0.0	0.264832	0.0	0.030658058823529417	0.029086941176470586	0.0	0.008596117647058824	0.0	0.0	0.0	0.2268365294117647	0.0	0.0	0.020395235294117648	0.04742876470588236	0.0	0.009995529411764705	0.0	0.04687894117647059	0.0	0.037336705882352945	0.007196764705882353	0.0
Arthrobacter phage Abidatro	0.011202	0.0	0.0	0.0	7.096925	0.016803	0.4838705	0.0	0.0	0.0	0.317742	0.0604625	0.0	0.0	0.322113	0.0	0.0	0.0	2.3241935	0.0	0.6409205	0.0	0.0	0.0	0.0	0.0	0.0	0.3177415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0439675	0.2652625	1.9383905	0.3855715	0.0	0.0	0.0	0.0	0.0	0.0129665	1.4987495
Aggregatibacter aphrophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.11908700000000001	1.1655820000000001	0.0	0.0	0.06624414285714285	0.0	0.1188067142857143	0.017170285714285714	0.0	0.0	0.09512514285714287	0.0	0.0	0.0	0.0	0.0	0.12954085714285715	0.0	0.0	0.11598614285714286	0.0	0.7701795714285715	0.0	0.04411028571428571	0.0	0.0	0.0	0.0	0.0	0.156059	0.0	0.0	0.0	0.0	0.0	0.8321948571428572	2.1228192857142854	2.467624428571429	0.0	0.18843085714285715	0.0	0.08116885714285714	0.0	0.24385300000000004
Enterobacteria phage IME10	2.7013034	0.015080300000000001	0.0205903	0.0	0.21454069999999997	0.177264	0.0	2.6268295999999998	0.0067262	0.0	0.0	2.0892315000000004	0.42383419999999994	0.0150716	0.050664799999999996	0.0068291	0.0876116	1.5253425	0.0	0.1325267	0.0478942	0.021677000000000002	0.0365016	0.0	0.0	0.0468912	4.4037706	0.1230108	2.8681335000000003	0.9369251999999999	0.0068634	0.0888234	29.681877200000002	0.0	0.0	0.0849005	0.0	0.0280105	0.6078417	0.0	0.0134523	0.0227699	0.0068291	0.7169122	0.0156989	0.1466365	1.8057907	1.0990532	2.1326443	0.167296
Mycobacterium phage RhynO	0.0	0.0	0.0	0.0	0.0	63.03598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.142064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124069	0.0	0.0	0.0	0.0	0.0
Escherichia phage D108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.130643	0.0	0.0	3.8475010000000003	0.0	0.0	0.0675675	0.0	0.0	0.8531175	0.2340465	0.101351	0.0300675	0.0	0.0	0.062331	0.0	0.0939185	0.136115	0.0	0.5819255	0.0	0.0	0.0	0.0	0.0	0.623312	0.0	0.0	0.0	83.959632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ostreococcus tauri virus RT-2011	0.17835766666666666	0.027278999999999998	0.041545	0.013918	0.34304966666666664	0.04161433333333333	0.041545	0.027835666666666665	0.080167	0.013918	0.2273706666666667	0.0	0.025817666666666666	0.360237	0.21969399999999997	0.0	0.258942	0.013848333333333332	0.027766333333333334	0.025121666666666667	0.013918	0.0	0.4804456666666667	0.485316	0.0	0.45177466666666666	0.038046333333333335	0.06952	0.0	0.0	0.041684	0.08134999999999999	0.013918	0.0	3.6818563333333336	0.01357	26.030818666666665	0.013918	0.013918	0.110995	0.13736966666666667	0.3699806666666667	6.765566333333333	0.147251	0.041684	0.36256099999999997	0.13910933333333333	1.023372	0.288309	0.44655566666666663
Enterobacteria phage Sf101	195.517767	0.0	0.0	0.0	0.486842	0.131579	2.427631	1.576316	324.734133	0.524342	0.0	17.705265	1.358552	0.519737	0.0	0.0	0.0	5.030922	15.653949	0.784211	0.369079	1.668422	0.131579	0.215132	0.0	0.390789	0.0	0.0	6.711184	0.0	0.0	0.131579	0.0	0.0	2.735527	0.0	0.0	0.0	235.050635	0.0	2.863818	0.0	0.0	2.29013	0.0	0.25921	6.758556	2.867104	0.3875	0.705263
Blautia hansenii	0.09056270677966104	1.2019329220338983	0.1394844033898305	1.1550265338983052	0.13307571016949152	0.04788638305084745	0.08357791186440679	0.049895693220338995	0.5852231779661009	0.6633467830508473	0.11741604406779663	0.07693176101694914	0.3356582067796611	0.6064901644067798	0.3689367559322033	0.15952170000000002	0.0814257338983051	0.09864057288135591	2.1849022355932175	0.34217364576271186	0.06285275932203391	0.3169001610169492	2.662232213559321	0.03156458983050847	0.26319180169491524	0.1746360559322034	0.7527064186440683	0.37095104406779655	0.2879191016949153	1.6224567440677964	0.025886661016949156	0.2684544237288133	0.21548660169491526	0.7361914271186438	0.9183388305084744	0.22691856779661018	0.45206560169491516	0.0655962	0.6748612644067796	0.24404124067796604	0.3424255966101695	0.11602148644067796	0.20991306271186444	0.08953724745762713	0.36534838305084744	0.801444379661017	2.7500014186440667	0.20344416440677962	0.1156150254237288	0.6563303288135589
Synechococcus phage ACG-2014e	0.0	0.0	0.0	1.6978464	0.0	0.0	0.0001466	0.0	0.0	0.0058826	0.0	0.022654600000000004	0.0	0.0	0.0001496	0.0	0.027192	0.0	3.2760964	0.015131	0.0	0.0	132.9358	0.0	0.0	0.0001496	0.0	0.0	0.0	0.0	0.0	0.000148	0.0	0.0	0.0	0.0001496	0.00044860000000000006	0.0	0.28352239999999995	0.0427784	0.0	0.0	0.0	0.0	0.0	0.0	0.10041720000000001	0.0001496	0.0	0.0878026
Gordonia phage BritBrat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.943709	5.467815	2.3269855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia phage HK75	0.0	0.0	0.0	0.0	0.0777385	0.0	0.0	0.0	0.0	0.0	0.0	4.767575000000001	0.0	0.0	0.0	0.0	0.0	2.2639915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1177855	0.0	0.431685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.550059	0.0	0.1177855
Klebsiella phage 2b LV-2017	0.6571445833333334	0.15264775	0.3772431666666667	4.835078333333334	1.0962748333333332	0.196904	0.326641	0.31491566666666665	0.5837359166666666	0.06623508333333333	0.13984233333333332	0.37695724999999997	7.406746000000001	0.0	1.4010344166666666	2.4612847500000004	0.007005750000000001	0.2673255833333333	0.21309475	0.7458359166666667	0.8882523333333333	0.45936225	0.012635	0.0028942499999999997	0.02204558333333333	0.14347041666666668	37.84120933333333	0.34001216666666667	0.7036076666666666	0.03810608333333334	0.06606908333333333	0.11436849999999998	0.0	0.005839833333333333	0.005343166666666666	16.035271166666664	0.039787833333333335	0.349359	0.24425033333333335	0.0034250833333333334	0.13351966666666668	0.05715741666666666	0.23159508333333334	0.39266775	0.02168458333333333	7.943668666666667	0.0034250833333333334	0.040050749999999996	0.18452	0.36241199999999996
Enterobacterial phage mEp390	18.806823333333334	0.015924555555555553	0.3211203333333333	0.0	1.4381395555555556	0.5679297777777778	0.3372345555555556	0.7923933333333333	34.185428111111115	0.02489577777777778	33.30261088888889	2.9605314444444444	3.6950835555555557	0.03466255555555556	0.25323633333333334	0.019750666666666666	0.6546684444444444	3.2818245555555556	5.296791777777778	1.599132111111111	0.13642466666666667	0.12278011111111112	0.2838585555555555	0.011314888888888888	0.0	0.26805077777777775	117.62936166666665	0.5943905555555555	2.0585762222222224	12.524155777777777	0.0	0.3888328888888889	22.355838777777777	0.015076111111111111	0.101477	4.802089222222222	0.048724444444444445	0.5274683333333333	25.27668688888889	0.003791666666666667	0.8614273333333334	0.15032077777777778	0.15296755555555558	0.5199975555555556	0.027707555555555555	8.975007555555557	1.9797168888888892	0.36641133333333337	0.9061418888888889	0.2910027777777778
Enterobacter cloacae complex	0.3796371449925256	0.005158430493273544	0.005860717488789236	0.00026295515695067267	8.439361640508205	0.002135247384155456	0.01570072197309417	0.00790069058295964	0.19915472944693566	0.003998387144992526	0.1801678333333335	0.028608154708520187	0.13280080866965605	0.0001227660687593423	0.0018783998505231693	0.010340237668161435	0.02699103811659193	0.07838139835575493	0.12356682810164415	1.8096163744394582	0.02443716367713004	0.0019685201793721973	0.04191519357249622	0.00018887518684603888	0.0	0.001709193572496263	0.6496764910313902	0.005023677877428997	0.07712097907324358	0.09899287518684609	0.006558140508221225	1.1825850470852015	0.10987690732436471	5.6316143497757846e-05	0.01266913079222721	2.2419889985052337	0.002846690582959641	0.5150937212257103	0.1384063834080717	0.021506553064275048	0.004589186098654709	0.20264967638266082	0.04283587070254114	0.055980021674140505	0.0010158340807174889	57.28354373766814	0.011458298953662183	0.003508111360239164	0.011168932735426008	0.0037979319880418537
Pseudomonas virus PaMx11	0.0	0.0	0.0	0.0	2.176992	0.0	0.4585685	0.0	0.0012385	0.0	0.0	0.0	0.0	0.0	0.0024215	0.0	0.0	0.0	0.0	0.0012385	0.0	27.081862	0.000799	0.0	0.0502725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002477	0.0	0.0	0.002118	0.0	3.1713615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stx converting phage vB_EcoS_P27	0.026082333333333332	0.0	0.0	0.0	0.03967266666666667	1.1012286666666666	0.154669	4.036889666666666	0.026082333333333332	0.0	5.012260333333333	0.0	0.07590000000000001	0.0	0.0	0.0	0.0	0.32913733333333334	7.910408	0.0	0.0	0.448226	0.0	0.0	0.0	0.315336	0.0	0.0	1.4867073333333334	0.0	0.0	0.04089966666666667	0.0	0.0	0.05203433333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174883	0.2846896666666667	1.8109019999999998	0.4045383333333334	0.0
Synechococcus phage Bellamy	2.1055735714285713	2.502020857142857	2.6990661428571427	1.877430857142857	3.677914428571429	1.684816	1.933942	4.610654142857143	1.0739199999999998	14.390430142857142	10.692154714285712	0.9092744285714284	3.8409752857142854	4.474604142857143	5.944662285714286	4.001538571428572	7.049186999999999	2.5476577142857146	12.754680714285715	3.095881	1.1893751428571429	3.6156077142857144	0.34314028571428573	3.1563055714285713	2.9809005714285712	8.661765428571428	1.0808494285714285	69.99207285714286	7.025816999999999	6.087666857142858	1.6700314285714286	0.03716814285714286	4.490634428571428	2.294078857142857	7.5567835714285705	4.857840285714286	21.35040985714286	3.146913571428571	2.3339372857142857	7.448129000000001	31.10314614285714	10.719689285714287	8.098101857142856	8.569482857142857	11.520810857142859	35.202904857142855	6.806800285714286	17.259112	3.0068850000000005	0.010600714285714284
Enterobacteria phage mEp235	0.0	0.0	0.0	0.0	0.09203	0.0	0.100712	0.671471	0.0	0.0	0.0	0.199514	0.034728	0.0	0.0	0.0	0.0	0.448862	0.0	0.172947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166348	53.882615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09394	0.939747	0.0	0.08248	0.021531	0.0	0.172947	0.0	0.034728	0.0	0.102622	0.133704	0.053481
Suid alphaherpesvirus 1	0.0	0.0	1.1999645	0.015423	0.583407	0.0	0.0261575	0.0	0.0	0.0	0.0	0.0	0.0	0.3120015	0.0	1.5413055	0.0	0.01755	0.7133135	0.0	0.0217105	0.0	0.0	0.0	0.0	4.4657335	0.0	0.0	0.0	0.0	0.0684275	0.0	0.0	0.0	0.0	0.305531	0.150405	0.0	0.0	0.0	0.0	2.1502755	0.0	0.0	0.0	1.832654	0.0	0.0	0.0	10.9794345
Klebsiella phage K5-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.532748000000002	0.0	0.0	0.0513085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.305923	0.0	0.0	0.0	0.0	0.0	0.0
Sodalis phage phiSG1	0.0	3.5276599999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008219666666666667	0.0	0.0	0.0037579999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.379365000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004373666666666667	0.0	0.0	0.0	0.0	0.004285666666666667	0.0	0.0	0.0	0.0
Blautia obeum	1.5744424050632913	3.1739492430379737	1.1396142126582274	1.8203189594936702	2.5505182683544283	0.43906314936708885	0.7634786253164556	0.8335335037974687	0.9582623721518992	0.7623909518987341	4.6181053544303765	1.2289400607594938	1.7318423999999983	2.2466440126582277	5.635298473417723	2.369211425316456	1.1515124734177216	1.863043389873418	1.8661633620253169	2.244058541772152	1.0617469037974685	2.0088233873417725	1.6775768354430376	0.8491936632911392	2.3726092658227835	0.3559596151898735	0.7191386784810128	3.7384040607594917	3.592633602531644	1.6892414202531651	0.6191463620253164	0.6972830405063288	1.899959724050634	0.6968726784810126	5.109969151898733	1.7748463696202537	3.4504810556962022	1.3368706455696202	0.5934916025316457	2.2970197341772156	1.660030686075949	1.8459597291139238	2.3903549797468355	1.6937118455696207	1.8087661164556965	4.985852769620255	8.84947073670886	1.3113445037974685	1.1930585189873406	1.134438475949367
Mycobacterium phage Omnicron	0.117571	0.0	0.0	0.0	0.0	0.516922	0.0	0.4843645	0.112089	0.0	0.1134425	0.0540815	0.0	0.0	0.1328005	6.481422	0.418776	0.1038985	0.0	0.107012	0.0	0.1530395	0.105794	0.0	5.0953715	0.0	0.0	0.0	0.1827535	0.0	0.0	0.0	0.1354405	0.0135375	0.0	0.0	0.411263	0.0	0.0	0.0	0.013131	0.0	0.0	0.1827535	0.0	0.0	0.0376335	0.0	0.0	0.0
Mycobacterium phage Legendre	187.193922	0.173913	1.008695	0.0	2.551304	3.348698	3.679132	9.866085	292.532275	0.347826	221.868752	18.77999	1.679999	0.0	1.037393	0.0	8.66174	22.695651	49.059987	7.979132	0.818261	1.571305	0.521739	0.164348	0.165217	1.251307	367.21662	1.200869	16.574783	32.233923	0.162609	0.869564	224.32439	0.0	4.191303	4.700871	0.481739	2.053043	262.836567	0.0	2.910441	0.521739	1.196522	1.985216	0.0	1.356522	19.084353	6.030432	6.265212	2.258259
Yersinia virus R1RT	0.0	0.205472	17.524284	0.0	0.111669	14.986606	0.0	0.0	0.0	0.0	0.0	365.529782	0.0	0.0	0.0	87.452267	0.111669	0.0	0.0	34.974872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.335009	0.0	0.738135	0.0	0.111669	0.0	56.844805	0.0	0.0	12.532105	0.0	0.0	0.0	0.0	0.0	8.763825	0.0
Pseudomonas phage phiKZ	0.4307608333333333	1.8213623333333335	0.5877890555555556	6.226840388888889	1.9761429444444443	0.6415767222222222	1.5491327222222222	2.155261777777778	1.4623379444444444	0.08241283333333332	0.3848038333333333	0.35335333333333335	1.2440316666666669	1.1384885000000002	1.7673903888888889	4.063423555555556	3.384243611111111	1.8136374444444445	2.5759678888888886	2.1152865000000003	0.779975611111111	5.5634479444444445	0.16926772222222222	1.2637936666666667	0.5161665000000001	0.4425208888888889	0.0	14.879543555555557	1.2193036666666666	0.6528448888888889	0.2934761111111111	0.2247032777777778	2.900286888888889	0.3844357222222222	0.49470138888888887	1.8219117777777778	3.6173251666666673	0.4519074444444445	0.20431272222222224	4.1225830000000006	5.865758833333334	1.8485049444444444	2.0411265555555556	1.7047843888888892	1.3625640555555556	3.019936333333333	1.055878611111111	1.7071716111111113	0.31119633333333335	1.1898252777777776
Parabacteroides sp. CT06	2.778537446640317	0.08940053359683794	2.8187402964426873	1.8235584505928855	0.3091729328063241	3.8450558616600805	2.2505142252964423	1.7543989130434783	0.5301615652173913	11.9739911541502	0.3199441739130435	2.8897013280632424	2.467096782608696	3.473932130434781	0.7293796996047431	3.5759457826086973	0.6039390316205532	1.4597918893280633	0.0022028260869565216	0.2827935849802373	0.7852353636363635	0.4871569960474309	12.380226687747042	2.2867088300395246	2.3190180513833987	2.826980229249012	0.009836478260869566	2.9253936324110676	0.17935733596837952	5.77746409486166	0.17282319367588925	8.432522292490122	1.4440408102766802	3.4358176086956536	0.6339273083003951	1.5984403913043472	0.30167543478260866	3.3683799407114625	5.091026501976281	0.972663399209486	0.8852695098814226	0.23103919367588935	0.22608989328063234	4.5627451146245015	6.454724640316208	0.22959805138339917	0.1640900118577075	0.6611181778656127	1.4778045335968377	29.110791438735173
Escherichia phage phiC120	0.0	1.813195	0.0	0.316375	0.263911	0.0	0.27504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.031795	0.0	0.316375	1.291735	0.0	0.771066	0.13593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157393	0.0	0.0	0.316375	0.0	0.157393	0.0	0.0	0.0	0.0	2.072335	0.0	0.476947	0.08903	0.0	0.0	1.889506	0.0	0.0	0.0
Pepper chlorotic spot virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.667414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.526158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.036624	0.0	0.0	0.0	0.0	1.402092	0.149477	0.0	2.626309	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus phage 53	1.452803	2.631268	0.884956	24.436578	0.29056	0.0	0.0	3.821533	0.0	0.0	0.0	0.0	23.138646	0.0	0.294985	0.0	0.0	0.0	0.0	0.0	0.585547	4.76991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281711	0.0	0.0	0.0	0.0	0.762536	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter phage Canowicakte	0.0	0.0	0.47549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.326797	0.0	0.0	0.0	1.30719	0.325163	0.0	0.0	1.207516	0.0	0.24183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.643791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pasteurella multocida	0.0	0.0	0.0	0.0	7.341355	0.0	0.0	0.0	1.0111	0.0	0.0	0.0	2.517114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.617024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudomonas phage ZC01	0.024383	0.0	0.0	0.012191	0.080951	0.0	0.012009	0.0	0.0	0.0	0.781286	0.0	0.0	0.0	0.0	0.401951	0.0	0.0	0.0	0.012191	0.0	0.0	7.431759	0.024383	0.0	22.167875	0.03633	0.0	18.387017	0.0	0.0	0.0	0.0	0.0	0.0	0.011826	0.0	0.0	0.03566	0.0	0.0	0.020786	0.0	8.3872	0.0	0.0	0.0	0.754832	0.0	0.0
Streptococcus phage phiZJ20091101-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.350877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.110525	0.350877	0.0	0.0	0.0	0.0	0.0	0.0	0.0
