familly	w	p-value
Malvaceae	1.03407298132	0.301102046212
Syntrophaceae	0.0	1.0
Poaceae	3.35729027935	0.000787104298833
Odoribacteraceae	0.903090403685	0.366477916659
Polydnaviridae	-2.36802712722	0.0178832246228
Asfarviridae	4.48098291905	7.43000583339e-06
Poxviridae	-1.23399375771	0.217205230318
Campylobacteraceae	3.85709222032	0.000114743880135
Fuselloviridae	3.27456444084	0.00105824999713
Oxalobacteraceae	-1.66830440986	0.0952553129691
Inoviridae	-0.868621304308	0.385054297852
Rudiviridae	0.86517439437	0.386943077145
Tannerellaceae	0.124088757758	0.90124499937
Ruminococcaceae	0.0413629192527	0.967006573633
Microviridae	-1.30982577634	0.190254781053
Peribunyaviridae	-1.1788431987	0.238460619197
Tospoviridae	1.2064184782	0.227656174765
Hantaviridae	1.2064184782	0.227656174765
Desulfomicrobiaceae	2.75752795018	0.00582402340778
Neisseriaceae	2.5851824533	0.00973274789744
Iflaviridae	0.172345496886	0.863165918093
Rosaceae	0.0	1.0
Reoviridae	0.589421599352	0.555578490722
Clostridiales Family XIII. Incertae Sedis	-0.165451677011	0.868588481719
Morganellaceae	0.517036490659	0.605130686028
Coriobacteriaceae	0.0	1.0
Spirochaetaceae	-0.868621304308	0.385054297852
Methanobacteriaceae	1.71656114899	0.0860593862139
Hominoidea	2.65412065205	0.00795153900133
Pectobacteriaceae	0.344690993773	0.730326689601
Anelloviridae	3.14013495327	0.00168870022701
Dicistroviridae	0.172345496886	0.863165918093
Nudiviridae	0.0	1.0
Christensenellaceae	1.55110947198	0.120875451651
Luteoviridae	2.24049145952	0.0250590346154
Geminiviridae	0.861727484432	0.388837497515
Retroviridae	-0.193026956513	0.84693785683
Filarioidea	4.13629192527	3.52963111891e-05
Akkermansiaceae	1.67519822974	0.0938953447873
Circoviridae	1.37876397509	0.167967537322
Caliciviridae	-0.261965155267	0.793348306353
Pedaliaceae	1.2064184782	0.227656174765
Baculoviridae	-1.62349458067	0.104483720916
Cactaceae	4.13629192527	3.52963111891e-05
Alloherpesviridae	-2.09916815208	0.0358020803946
Cyprinoidea	0.172345496886	0.863165918093
Fabaceae	0.1826862267	0.855044223389
Actinomycetaceae	0.0	1.0
Sphaerolipoviridae	-2.54381953404	0.0109647717911
Picornaviridae	0.689381987546	0.490582915561
Comamonadaceae	2.06814596264	0.0386262997803
Parvoviridae	-1.05475444094	0.291537646004
Peptococcaceae	0.344690993773	0.730326689601
Enterobacteriaceae	1.13748027945	0.255337563996
Oleaceae	0.172345496886	0.863165918093
Erysipelotrichaceae	-2.1922347204	0.0283625626225
Bacteroidaceae	1.30982577634	0.190254781053
Siphoviridae	-2.60586391292	0.00916428645221
Hepadnaviridae	0.872068214245	0.383171165215
