genus	w	p-value
Sep1virus	0.510142670784	0.609951512598
Mimivirus	1.11679881982	0.264080353582
Iltovirus	1.882012826	0.0598342742031
Hypovirus	-3.75713183212	0.00017187196302
Kayvirus	0.172345496886	0.863165918093
Corchorus	1.03407298132	0.301102046212
Shigella	0.779001645927	0.435978745187
Sesamum	1.2064184782	0.227656174765
Eubacterium	-2.09572124214	0.0361069263669
Porphyromonas	1.57868475148	0.114408384109
Mitsuokella	0.517036490659	0.605130686028
Cytomegalovirus	-1.84064990675	0.0656728791868
Betaentomopoxvirus	3.63304307437	0.000280098237659
Alphabaculovirus	-2.7954439595	0.00518284866156
Che8virus	0.861727484432	0.388837497515
Flavonifractor	2.00610158376	0.0448454109301
Pepy6virus	3.98118097808	6.85737118637e-05
Rslunavirus	-0.782448555864	0.433951007418
Obesumbacterium	0.172345496886	0.863165918093
Barnesiella	-1.68209204961	0.0925509918166
Phieco32virus	2.24049145952	0.0250590346154
Pyramidobacter	-0.130982577634	0.89578908969
M12virus	1.03407298132	0.301102046212
Bcep22virus	0.448098291905	0.654082260732
Bc431virus	4.73605425444	2.17919272809e-06
Megamonas	-1.25467521733	0.209596685833
Acidaminococcus	3.55031723586	0.00038476719217
Lactococcus	-4.42927926998	9.45485256823e-06
Malus	0.0	1.0
Faecalibacterium	-1.37876397509	0.167967537322
Epsilon15virus	0.751426366425	0.452396099739
Varicellovirus	0.0896196583809	0.928589462138
Cp220virus	-5.84940616433	4.93331095632e-09
Ethanoligenens	-0.330903354022	0.74071748842
Agrican357virus	0.517036490659	0.605130686028
Influenzavirus A	4.30863742216	1.64263399898e-05
Parvimonas	6.46640304318	1.00363171273e-10
Picobirnavirus	-5.34615731342	8.98411319001e-08
Pluralibacter	3.44690993773	0.000567037576271
Comamonas	2.06814596264	0.0386262997803
Rubivirus	-0.206814596264	0.836154656422
Atopobium	4.13629192527	3.52963111891e-05
Nonagvirus	3.57099869549	0.000355622666535
Dehalobacterium	0.344690993773	0.730326689601
Bos	0.944453322938	0.344938043722
Gemella	4.65332841593	3.26619406078e-06
Negevirus	1.72345496886	0.0848062817994
Klebsiella	0.0620443788791	0.95052749082
Roseburia	-0.186133136637	0.852340356679
Gilesvirus	-0.751426366425	0.452396099739
Tsarbombavirus	0.37916009315	0.704568983955
Kp15virus	0.517036490659	0.605130686028
Muromegalovirus	1.83030917693	0.0672037199089
Alphaentomopoxvirus	1.2064184782	0.227656174765
Desulfovibrio	0.0827258385055	0.934069539131
Pocjvirus	2.08538051233	0.0370347743479
Bacteroides	1.30982577634	0.190254781053
Eggerthella	2.50935043467	0.012095342484
Pasteurella	-0.365372453399	0.714833400974
Rb49virus	0.344690993773	0.730326689601
Petrimonas	-2.88161670794	0.00395640685017
Yersinia	0.517036490659	0.605130686028
Betafusellovirus	3.27456444084	0.00105824999713
Trueperella	0.172345496886	0.863165918093
Christensenella	1.55110947198	0.120875451651
Pegivirus	1.68209204961	0.0925509918166
Hokovirus	-1.56489711173	0.117607036039
Veillonella	0.372266273275	0.709694607007
Bifidobacterium	0.330903354022	0.74071748842
Gammasphaerolipovirus	-2.54381953404	0.0109647717911
Blautia	-1.11679881982	0.264080353582
Nona33virus	0.861727484432	0.388837497515
Bcep78virus	3.61925543461	0.000295451891264
Enterovirus	0.689381987546	0.490582915561
Chlorovirus	-2.25427909927	0.0241786153479
Neisseria	2.5851824533	0.00973274789744
Prasinovirus	-2.01644231357	0.0437537446379
Cronobacter	2.75752795018	0.00582402340778
Kp34virus	-2.42317768622	0.0153853992928
Clostridium	3.83296385075	0.000126608564361
Gordonvirus	-0.634231428542	0.525929799674
Lambdavirus	0.358478633524	0.719985154859
Ruminiclostridium	-6.02519857115	1.68902124915e-09
Ictalurivirus	3.10221894396	0.00192075841046
Faecalitalea	-2.56450099367	0.0103324283495
Spbetavirus	-1.89580046575	0.0579864342767
Trichomonas	0.172345496886	0.863165918093
Murdochiella	1.93371647507	0.0531479970822
Bacillus	-0.175792406824	0.860457035218
Finegoldia	2.06814596264	0.0386262997803
Coprococcus	3.0608560247	0.00220705194246
Tin2virus	6.72147437857	1.79894872648e-11
Akkermansia	1.67519822974	0.0938953447873
Mavirus	1.2064184782	0.227656174765
Aggregatibacter	-2.01644231357	0.0437537446379
Hp1virus	-4.01909698739	5.84216200799e-05
Mogibacterium	-0.165451677011	0.868588481719
Crocodylidpoxvirus	8.61727484432	6.85664144748e-18
Lactobacillus	7.19714794998	6.14850377737e-13
Begomovirus	0.861727484432	0.388837497515
Pseudomonas	0.689381987546	0.490582915561
Oxalobacter	-1.66830440986	0.0952553129691
Alistipes	0.317115714271	0.751155801527
Phikzvirus	-2.03367686326	0.0419841864093
Moonvirus	4.00530934764	6.19363718427e-05
Cafeteriavirus	2.10606197195	0.0351989695565
T4virus	1.25467521733	0.209596685833
Anaerostipes	-0.723851086923	0.46915716175
Rdjlvirus	3.44690993773	0.000567037576271
Phaseolus	0.344690993773	0.730326689601
Odoribacter	0.903090403685	0.366477916659
Bronvirus	2.06814596264	0.0386262997803
Mudcatvirus	0.689381987546	0.490582915561
Jerseyvirus	1.1236926397	0.261143439951
N4virus	5.33926349354	9.33249256589e-08
Klosneuvirus	-1.79239316762	0.0730700084789
Hesperelaea	0.172345496886	0.863165918093
Agatevirus	0.517036490659	0.605130686028
Homo	2.65412065205	0.00795153900133
Aeromonas	0.172345496886	0.863165918093
Glycine	0.517036490659	0.605130686028
Silviavirus	-2.84025378869	0.0045077655434
Propionimicrobium	1.93371647507	0.0531479970822
Dinodnavirus	0.689381987546	0.490582915561
Tl2011virus	-1.10990499995	0.267039965717
Filifactor	5.34271040348	9.15669900002e-08
Dialister	8.27258385055	1.31086609342e-16
T1virus	3.61925543461	0.000295451891264
Parapoxvirus	1.03407298132	0.301102046212
Coccolithovirus	-0.361925543461	0.717407671183
Dioscorea	1.03407298132	0.301102046212
Capnocytophaga	0.172345496886	0.863165918093
