order	w	p-value
Lepidoptera	1.2064184782	0.227656174765
Picornavirales	0.527377220472	0.597931659194
Brachyspirales	2.5851824533	0.00973274789744
Pseudomonadales	0.527377220472	0.597931659194
Malpighiales	1.2064184782	0.227656174765
Erysipelotrichales	-2.1922347204	0.0283625626225
Lactobacillales	-1.73724260862	0.0823443569643
Herpesvirales	-1.23399375771	0.217205230318
Poales	3.35729027935	0.000787104298833
order	0.0	1.0
Corynebacteriales	0.344690993773	0.730326689601
Flavobacteriales	-0.324009534146	0.74593081608
Syntrophobacterales	0.0	1.0
Selenomonadales	-1.36497633534	0.172260487968
Saccharomycetales	1.23054684777	0.218492395174
Coleoptera	0.344690993773	0.730326689601
Fusobacteriales	4.54302729793	5.54520674007e-06
Eggerthellales	2.88161670794	0.00395640685017
Veillonellales	1.1788431987	0.238460619197
Mononegavirales	-0.355031723586	0.722565825352
Methanobacteriales	1.71656114899	0.0860593862139
Clostridiales	-0.172345496886	0.863165918093
Cypriniphysae	0.172345496886	0.863165918093
Caudovirales	1.59936621111	0.109739255489
Spirochaetales	-0.868621304308	0.385054297852
Bacteroidales	0.468779751531	0.639227074707
Enterobacterales	0.978922422315	0.327618312307
Ligamenvirales	0.86517439437	0.386943077145
Micrococcales	1.30982577634	0.190254781053
Pasteurellales	-1.27535667696	0.20218302542
Desulfovibrionales	-3.84675149051	0.000119694263568
Acidaminococcales	3.55031723586	0.00038476719217
Burkholderiales	-0.620443788791	0.534965650836
Dioscoreales	1.03407298132	0.301102046212
Caryophyllales	4.13629192527	3.52963111891e-05
Euarchontoglires	2.65412065205	0.00795153900133
Actinomycetales	0.0	1.0
Neisseriales	2.5851824533	0.00973274789744
Propionibacteriales	2.06814596264	0.0386262997803
Laurasiatheria	0.944453322938	0.344938043722
Spirurida	4.13629192527	3.52963111891e-05
Coriobacteriales	3.04017456508	0.00236441062259
Lamiales	1.2064184782	0.227656174765
Fabales	0.1826862267	0.855044223389
Bunyavirales	-1.1236926397	0.261143439951
Tissierellales	7.03859009284	1.94194724693e-12
Malvales	1.03407298132	0.301102046212
Bifidobacteriales	0.330903354022	0.74071748842
Synergistales	0.882408944059	0.377555700733
Verrucomicrobiales	1.67519822974	0.0938953447873
Rosales	0.0	1.0
Aeromonadales	0.172345496886	0.863165918093
Campylobacterales	3.85709222032	0.000114743880135
Bacillales	-0.175792406824	0.860457035218
Trichomonadida	0.172345496886	0.863165918093
