phylum	w	p-value
Spirochaetes	0.144770217385	0.884892297546
Streptophyta	0.792789285678	0.427900599938
Arthropoda	1.37876397509	0.167967537322
Proteobacteria	1.24778139746	0.212111122951
Bacteroidetes	0.847939844681	0.396471472963
phylum	0.0	1.0
Actinobacteria	0.282646614894	0.777447743179
Fusobacteria	4.54302729793	5.54520674007e-06
Nematoda	4.13629192527	3.52963111891e-05
Ascomycota	1.23054684777	0.218492395174
Synergistetes	0.882408944059	0.377555700733
Candidatus Saccharibacteria	0.0	1.0
Firmicutes	-0.482567391282	0.629402937222
Euryarchaeota	1.71656114899	0.0860593862139
Verrucomicrobia	1.67519822974	0.0938953447873
Chordata	3.39520628866	0.00068576909109
