species	w	p-value
Mycobacterium phage Hawkeye	2.06814596264	0.0386262997803
Erwinia phage vB_EamM_EarlPhillipIV	0.517036490659	0.605130686028
Citrobacter virus Moon	7.79001645927	6.70004664872e-15
Moraxella phage Mcat5	0.344690993773	0.730326689601
Bathycoccus sp. RCC1105 virus BpV	3.61925543461	0.000295451891264
Blautia obeum	-1.08922354032	0.276055320487
Thermus virus P23-77	-3.15736950296	0.00159199475129
Oryza sativa	2.41283695641	0.0158288986116
Lactococcus phage P118	0.517036490659	0.605130686028
Romboutsia ilealis	-1.41323307447	0.157587204662
Porphyromonas asaccharolytica	0.0896196583809	0.928589462138
Bufavirus-3	0.689381987546	0.490582915561
Fusobacterium nucleatum	5.02559468921	5.01874857972e-07
Campylobacter virus CP21	-0.113748027945	0.909437538771
Aggregatibacter aphrophilus	-2.01644231357	0.0437537446379
Bacillus phage phIS3501	0.0620443788791	0.95052749082
Enterobacteria phage HK544	2.92987344707	0.00339100075799
Enterobacteria phage HK633	3.96394642839	7.37208030506e-05
Shigella phage SHFML-26	1.1512679192	0.249622030858
species	0.0	1.0
Erwinia phage ENT90	-3.07809057439	0.00208331584459
Leuconostoc phage phiMH1	3.17115714271	0.0015183298356
Escherichia phage vB_EcoM-UFV13	6.72147437857	1.79894872648e-11
Mycobacterium phage PurpleHaze	0.861727484432	0.388837497515
Dickeya phage phiDP10.3	2.62654537255	0.0086256491994
Escherichia phage phiON-2011	-2.75063413031	0.00594800351383
Lactococcus phage AM12	2.92987344707	0.00339100075799
uncultured phage MedDCM-OCT-S04-C348	1.37876397509	0.167967537322
Rotavirus A	-0.330903354022	0.74071748842
Enterobacteria phage H-19B	3.96394642839	7.37208030506e-05
Ostreococcus tauri virus RT-2011	5.71842358669	1.07516847299e-08
Catovirus CTV1	6.50776596243	7.62766285717e-11
Clostridium phage HM2	5.68740139725	1.28987032931e-08
Enterobacteria phage P-EibC	0.25851824533	0.796006969643
Propionibacterium virus PAS50	0.320562624209	0.748541865468
Enterobacteria phage P-EibE	2.32321729803	0.0201674819703
Prevotella phage phi AR29	3.53652959611	0.000405421072751
Escherichia virus N15	0.517036490659	0.605130686028
Anticarsia gemmatalis multiple nucleopolyhedrovirus	0.517036490659	0.605130686028
Mitsuokella multacida	0.517036490659	0.605130686028
Autographa californica multiple nucleopolyhedrovirus	1.826862267	0.0677204808518
Streptococcus sp. I-G2	-2.88161670794	0.00395640685017
Escherichia virus 24B	0.517036490659	0.605130686028
Streptococcus phage phiLP081102	-4.7326073445	2.21654015083e-06
