phylum	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Chordata	0.05534304761904762	0.0	0.016459500000000002	0.0	0.059599571428571425	1.1906584999999998	0.003791333333333333	0.0	0.003946333333333334	0.00911047619047619	0.022230785714285713	0.09803925	0.028733619047619046	0.3352545119047619	0.011991119047619049	0.01294761904761905	0.011720452380952382	4.905863238095238	0.15304740476190476	0.004119285714285714	0.017070119047619046	0.0	0.6298733214285714	1.6861393095238089	0.0	0.1364315476190476	0.03953661904761905	0.6247959642857143	0.024098619047619046	0.018076690476190475	0.03854307142857143	0.4021388571428572	26.309535428571426	0.11683480952380952	0.04073314285714286	0.07955350000000001	0.045770619047619046	0.10671134523809522	0.2644385952380952	0.014942309523809524	0.1749318333333333	0.39573325000000004	0.14767176190476192	0.10145633333333334	0.11971892857142857	0.17862027380952378	0.012889642857142856	0.010663809523809523	0.03109026190476191	5.212957285714285
Verrucomicrobia	0.003263712171052632	0.18537838651315808	53.591053208881576	0.0041096595394736835	14.143381406249997	0.006985363486842105	0.006122592105263156	0.003084792763157895	0.0005399194078947369	0.002086368421052632	0.041359425986842134	0.07415436184210528	0.0012937713815789475	0.0006685707236842106	0.0010350986842105263	0.29202394572368423	0.08012359703947369	0.04135152796052631	0.1593320263157895	0.0016205180921052633	1.7236289506578948	13.171084391447366	0.0528080394736842	0.016802322368421045	0.37296993421052665	43.808055345394735	0.00604460032894737	0.6669005592105266	0.012742991776315785	35.71951918914471	0.04632071875000002	0.0019918421052631577	0.002583873355263158	0.07507599013157892	0.008961853618421051	21.387933200657915	0.06607119901315783	0.0017988075657894736	0.9915550937500006	32.555863888157916	605.1094933947371	0.13568653289473687	186.23782802467105	0.11726976151315785	0.008155300986842107	0.21855896381578946	1.2370250131578953	0.05628206907894738	0.9238951200657901	43.12520458388162
Fusobacteria	0.0	0.0	0.0164594375	0.0	0.006209625	0.0447883125	0.0362706875	0.0	3.2073316875000004	0.0264035	2.6786224374999996	0.0	2.756976	0.0656	2.1508676875	0.006209625	0.0	0.80366025	0.3093701875	9.310192	0.0	0.07000825	0.0	0.01048875	0.5527782499999999	3.4369271874999994	0.0	2.5989155624999998	0.348108625	0.10701693749999999	0.005878875	0.2154401875	0.36493912500000003	0.0106881875	0.0331539375	0.006209625	1.3854503125	0.0	0.0	0.0	0.0	0.0	0.0	1.0347139374999998	0.005244375	0.007348625	0.03607375	0.0	0.015693875	0.1434494375
Spirochaetes	0.330974	43.241220999999996	61.633089	31.052494	47.982533	15.57876	1.6315369999999998	0.146903	3.787607	2.853982	0.176991	9.586723	95.553983	4.572567	7.930085	0.166372	14.743361	11.465494	4.065487	3.111504	0.0	0.172566	19.348674	18.980972	0.707964	0.353982	47.76636	115.86447700000001	1.592919	1.384955	5.087889	0.0	4.837962	7.146452	69.868993	4.466652	1.379646	6.514161	39.20885	0.502654	0.463114	26.207200999999998	35.127427	16.538053	43.737181	4.892923	10.180533	0.991432	0.0	6.136908
Candidatus Saccharibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptophyta	0.027026372549019607	0.0	0.006048607843137255	0.0	0.0	2.8309410921568627	0.0	2.6015675490196077	0.0	0.02631135294117647	0.0	0.1437956	0.0729928	0.0	0.39648900000000004	0.11378515686274511	0.0039537450980392155	0.0	0.0	0.0	0.14931261960784312	0.0	0.0	0.0	0.46644199999999997	0.0	0.2870491607843137	0.0061660000000000005	0.07008301960784313	0.011994039215686274	0.0	0.0	0.0	2.5615436000000003	0.0064187843137254895	0.004719117647058823	0.24660227450980393	0.131579	0.0	0.0013871764705882354	0.011193803921568626	0.0	0.0	0.002599450980392157	0.0	0.0	0.09983329019607842	0.0	20.81287191372549	0.3579599411764706
Actinobacteria	62.202942302497085	141.51356043158447	63.31554028465823	11.109677211380633	36.774229501758676	24.368399692579196	36.24544397886528	3.0476424561641173	2.746066894212632	1.6704323686431404	209.18669673866415	7.970643797372391	14.380351644185367	22.16286004727434	20.543330663323587	21.154386299994904	12.13298022606315	25.458305079801605	2.926370147780618	1.2170940248633328	353.59992456268185	5.2184553589290426	296.7725816155428	5.009649216257561	78.78239108928949	8.720660694927707	29.425959749200768	24.230805808753217	40.04272780311583	35.140150058900815	1.8356875865559015	2.704007399680905	3.9691426311451163	13.262732454040473	64.4216218399602	112.9808956456252	14.895613739902945	14.131946563974221	187.46830268970783	21.264957593256604	0.3379100262867647	9.057311814711971	98.15981235763606	285.74600677333234	4.635629801005823	36.45725915667242	142.52553417527554	5.11944482229279	65.70534503411155	28.807944489109747
Synergistetes	0.0011399566326530611	0.006856326530612245	0.4098194566326532	0.004506649234693878	0.06241975637755103	0.008739016581632652	0.0074183750000000005	0.00017132397959183674	0.00016331760204081632	0.43314780994897994	0.0011211747448979592	0.024967469387755088	0.1493837742346939	0.004074165816326531	0.00609998086734694	0.0	0.04148895535714286	0.017321900510204078	0.20190520790816327	0.4533290918367347	0.004536244897959183	0.052845312499999963	0.0018465752551020409	0.15215183163265306	1.825965316326533	0.1458780663265306	0.0030410012755102043	0.5507416760204081	0.02544985331632653	0.018328186224489798	0.018130022959183676	0.16573561096938774	0.0006274719387755102	0.0023619323979591836	0.2988839056122449	0.13001623086734693	0.045425471938775525	0.11792129846938781	1.9117214987244904	0.17632547704081636	0.00029335076530612246	0.09228887627551022	2.8170509056122452	0.12345409566326532	1.7831031237244912	0.19562476020408182	0.0	0.00218505612244898	0.0007696836734693877	2.8411550063775515
Ascomycota	0.8566102727272727	0.002963636363636363	0.17334281818181815	0.002948818181818182	0.4736650000000001	4.702310818181818	0.0	0.057373	0.0	11.607073818181819	0.008476	0.039892727272727274	0.039072909090909096	0.03729290909090909	0.05102490909090909	0.1526442727272727	0.0	0.002682090909090909	0.0	0.0	0.020167454545454547	0.7225301818181818	0.14707563636363635	0.002963636363636363	0.029971636363636363	0.005867999999999999	0.09225281818181817	0.09179063636363637	7.453565272727272	0.0	0.02115490909090909	0.0	0.005897636363636364	0.006475545454545455	0.05147927272727273	0.002963636363636363	0.17073536363636363	0.04160381818181818	0.007927727272727274	0.03131190909090909	0.024658454545454546	0.04441727272727273	0.07013263636363636	0.03424590909090909	0.0	0.2951487272727273	0.04526390909090909	0.0	1.5687999999999998	0.005793909090909091
Euryarchaeota	0.009308072423398333	0.3489529999999997	0.0	0.006875537604456826	0.0037891002785515326	0.00014726462395543176	0.040659465181058486	0.00028796378830083565	5.0715877437325906e-05	0.0	0.0005686211699164346	0.004318484679665738	0.003314785515320334	0.0	0.0	0.0004215153203342619	0.0003116128133704735	0.0	0.0	0.009245239554317554	0.00028640947075208917	0.10946789136490252	0.01905025348189415	0.008804785515320334	7.712813370473538e-05	0.0	0.011565097493036209	0.0007057298050139277	0.0008037047353760445	0.03994633147632313	0.00011834540389972145	0.0	0.048274846796657375	0.23759708077994426	9.69487309470753	0.18627206406685243	0.0008535515320334262	0.00034532033426183846	0.13958493593314747	0.0	0.0	20.466311707520894	0.0005648050139275766	182.16736232590523	17.958164835654603	0.47443204178272963	8.759888579387187e-05	0.023854270194986076	0.0	0.004476033426183845
