genus	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Coccolithovirus	237.511181	0.119419	1.449866	0.0	3.030373	5.308001	3.295439	12.204441	411.763343	0.521713	251.651735	24.834342	3.310441	0.44523	1.749207	0.053428	10.830449	28.066119	58.851803	7.683946	1.053183	2.38534	1.105026	0.38912	0.024396	2.818003	440.902289	1.765797	22.903878	41.858151	0.048792	1.519031	280.550751	0.048792	3.234205	5.413518	0.617224	3.207612	318.120556	0.048548	3.71042	0.941084	0.853257	3.291288	0.097341	2.623933	21.612709	6.36789	8.183938	2.714076
Hesperelaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Felixo1virus	38.137387000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.788825	0.0	0.0	0.0	0.0	0.0	0.10988500000000001	0.033881	0.0	0.47125999999999996	0.151279	0.0	0.0	0.0	0.0	0.0	10.822373	0.0	0.033373	0.0	0.364823	0.0	0.0	0.0	0.08538	0.0	0.031001	0.0	0.0	0.16028599999999998	0.033881	0.0	0.0	0.0	0.0	0.057598	0.0	0.032018	0.0	0.0	0.042123	0.0
Propionimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastocystis	0.0	0.0	0.0	0.30112941666666665	7.927070041666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.140698	0.0	0.0	0.0	2.13275675	0.0	2.2695106666666667	0.0	0.0	6.762053625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002333625	0.0319705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009511333333333333	0.0	0.0	0.0	0.0	0.0	0.0
Ornithobacterium	3.0955205	1.5184205	8.5362495	4.061685	8.9298665	7.5023919999999995	15.4154585	8.45165	1.9727085	8.634432	2.3121885	4.1509215	10.306532	21.597524500000002	30.117674	5.284901	4.398676	1.638484	0.0707175	1.667159	3.919252	2.2462345	44.414553	3.0662935	17.447448	5.3714775	0.11968050000000001	0.66135	3.176103	0.4921635	0.812281	199.0184485	2.9539015	7.3112745	7.650275	1.65757	0.754103	33.935313	21.963237999999997	6.1467845	0.615527	0.8299075	2.6345515	3.1121325	27.9002495	0.2077265	1.3684314999999998	0.947825	12.843723	14.167171
Kp32virus	0.0	0.0	0.0	0.0	0.0	0.010401142857142857	0.0	0.0	0.0	0.0	0.0	0.0	23.469015499999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006938	0.0	0.0	0.011278142857142858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5440875	0.0	0.0	0.0	0.0	0.0	0.0
Cr3virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.078096	0.0	0.0	0.0	0.0	0.0	0.0	0.606153	0.0	53.122068	0.0	0.0	0.170256	0.187692	0.0	0.0	0.0	0.0	5.154499	0.0	0.0	0.0	0.0	0.0	0.771283	0.0	0.0	0.0	0.113186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cronobacter	0.0	0.0	0.0	0.0	2.8996783333333336	0.0	0.0311235	0.0	0.0	0.0	0.0793735	0.0	0.0	0.0	0.0	0.0270125	0.0	1.438875	0.0311235	1.5792151666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.08247366666666667	0.0	4.001597333333334	0.0	0.0	0.0	0.0	0.0	0.102052	0.04014966666666667	0.0	0.144543	0.0	0.0	0.0	0.0	0.0	2.4643201666666665	0.0	85.55739133333333	0.014607	0.0	0.0	0.0
Pasteurella	0.0	0.0	0.0	0.0	7.341355	0.0	0.0	0.0	1.0111	0.0	0.0	0.0	2.517114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.617024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myroides	0.554017	0.184672	0.0	0.0	0.0	0.184672	0.0	0.0	0.733148	0.0	0.0	0.0	2.710065	47.180995	0.184672	0.92336	0.0	0.0	0.0	0.0	0.368421	0.369345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.748846	0.0	0.0	0.0	0.0	0.0	0.0	0.369344	2.935364	7.178211	0.0	0.554018	0.0	0.0	0.0
